rank,market,window_h,start_utc,end_utc,return_pct,price_start,price_end,category,first_detection,detection_price,detection_extension_pct,detection_state,source_sha,first_buy,buy_price,buy_extension_pct,delay_detection_buy_minutes,last_buy_before_window,reject_reasons,peak_utc,peak_gain_pct,first_observed_plus5,first_observed_plus10,first_observed_plus20
1,DRIFT-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,35.8104,0.014789,0.020085,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-22T08:56:45.031806+00:00,0.015633,5.7069,BUILDING_ACCELERATION,ac2048ac26019dc3d416cd02968d924561a992b6,,,,,2026-09-21T09:15:55.788860+00:00,"{""SPREAD_TOO_WIDE"": 1}",2026-09-22T19:15:00+00:00,59.8012,2026-09-22T03:50:04.239106+00:00,2026-09-22T17:31:33.407208+00:00,2026-09-22T17:58:35.657489+00:00
2,CHR-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,32.1083,0.015211,0.020095,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-22T01:19:16.222557+00:00,0.015588,2.4785,BUILDING_ACCELERATION,72d8f5ff919df37a5cea5cbd82be14686efabc7d,,,,,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 1, ""SPREAD_TOO_WIDE"": 3, ""STRUCTURAL_STOP_TOO_WIDE"": 1}",2026-09-22T16:15:00+00:00,54.316,2026-09-22T14:19:28.756087+00:00,2026-09-22T15:31:57.110171+00:00,2026-09-22T16:22:16.725708+00:00
3,KERNEL-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,27.8788,0.041189,0.052672,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T22:06:25.079432+00:00,0.041746,1.3523,CONFIRMED_ACCELERATION,9f0583f03701dd60487c09f56510631b987655e8,2026-09-22T07:47:32.579901+00:00,0.05833,41.6155,581.13,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""SPREAD_TOO_WIDE"": 4}",2026-09-22T01:20:00+00:00,53.439,2026-09-22T01:20:44.866770+00:00,2026-09-22T01:20:44.866770+00:00,2026-09-22T01:20:44.866770+00:00
4,BCH-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,27.4372,234.39,298.7,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-21T22:24:46.683633+00:00,237.0,1.1135,BUILDING_ACCELERATION,67f8ee932b46ed58943ef9132ab49aa5c600c2eb,,,,,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""STRUCTURAL_STOP_TOO_WIDE"": 3}",2026-09-22T19:20:00+00:00,29.4637,2026-09-22T12:38:11.438253+00:00,2026-09-22T12:47:11.344546+00:00,2026-09-22T13:57:54.059030+00:00
5,USELESS-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,21.4562,0.248632,0.301979,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T23:14:10.602996+00:00,0.245863,-1.1137,BUILDING_ACCELERATION,c898b05d3c2e0027f730b0258b0ba18feb23b71d,2026-09-22T08:23:26.846286+00:00,0.262362,5.5222,549.27,2026-09-21T03:48:32.214516+00:00,{},2026-09-22T20:20:00+00:00,22.9343,2026-09-22T08:18:20.114277+00:00,2026-09-22T11:59:38.632796+00:00,2026-09-22T20:36:39.834855+00:00
6,NIL-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,18.8858,0.058102,0.069075,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-21T22:18:34.925055+00:00,0.059666,2.6918,BUILDING_ACCELERATION,87f6129e853938d7c9bcd0b823debb75735311e5,2026-09-22T06:33:18.279374+00:00,0.064545,11.0891,494.72,2026-09-21T05:36:49.224106+00:00,"{""PRIOR_BUY_THESIS_STILL_ACTIVE"": 2, ""STRUCTURAL_STOP_TOO_WIDE"": 4}",2026-09-22T14:25:00+00:00,31.7992,2026-09-22T01:36:44.125592+00:00,2026-09-22T06:30:30.746742+00:00,2026-09-22T09:45:38.432939+00:00
7,PENGU-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,17.1371,0.0075742,0.0088722,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-22T03:35:00.928337+00:00,0.0077136,1.8405,BUILDING_ACCELERATION,008c5d5e787d5ab5447b4b8edb9efd96bb04ac34,,,,,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 2}",2026-09-22T20:45:00+00:00,21.0306,2026-09-22T06:37:23.959945+00:00,2026-09-22T18:24:01.276027+00:00,
8,KITE-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,17.0642,0.10355,0.12122,DETECTED_NO_BUY_REASON_UNRESOLVED,2026-09-22T06:32:01.211739+00:00,0.10893,5.1956,BUILDING_ACCELERATION,39787c94e06e2da3ad3cbd6ed3a8518afd319bd3,,,,,,{},2026-09-22T18:45:00+00:00,18.1555,2026-09-22T06:24:16.506343+00:00,2026-09-22T10:21:29.533360+00:00,
9,ZRO-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,15.1913,1.0348,1.192,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-22T06:07:37.996704+00:00,1.0247,-0.976,BUILDING_ACCELERATION,3d767942eb2713c5a02e40d55d02fc01064e991f,,,,,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""STRUCTURAL_STOP_TOO_WIDE"": 1}",2026-09-22T17:15:00+00:00,21.608,2026-09-22T14:19:28.756087+00:00,2026-09-22T16:22:16.725708+00:00,2026-09-22T17:45:58.502570+00:00
10,FLOCK-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,14.6111,0.065895,0.075523,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-22T00:48:16.093644+00:00,0.063854,-3.0974,BUILDING_ACCELERATION,7ed410c590558be1cede4fbb41cb0237b715e9cd,2026-09-22T11:52:05.893172+00:00,0.074141,12.5138,663.83,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""SPREAD_TOO_WIDE"": 2, ""PRIOR_BUY_THESIS_STILL_ACTIVE"": 1, ""STRUCTURAL_STOP_TOO_WIDE"": 1}",2026-09-22T15:40:00+00:00,29.0265,2026-09-22T09:28:05.823984+00:00,2026-09-22T11:46:33.314883+00:00,2026-09-22T14:19:28.756087+00:00
