market,decision_utc,h,target_r,entry,stop,tp,stake,score,post_range_gate,mature,coverage,bars,expected_bars,result,gross_pct,net_pct,gross_r,net_r,mfe_pct,mae_pct,minutes_to_peak,exit_utc,ambiguous_stop_tp,gap_below_stop,captured_positive_upside,net_pnl_guide_eur,fee_plus_slippage_each_side
LDO-EUR,2026-09-21T00:51:15.289104+00:00,12,1.6,0.38362,0.36472,0.41386000000000006,,8.945,False,True,1.0,143,143,HORIZON_MARK,-0.1538,-0.8503,-0.0312,-0.1521,2.5885,-3.0994,33.75,2026-09-21T12:50:00+00:00,False,False,0.0,-0.0,0.0035
LDO-EUR,2026-09-21T00:51:15.289104+00:00,12,2,0.38362,0.36472,0.42142,,8.945,False,True,1.0,143,143,HORIZON_MARK,-0.1538,-0.8503,-0.0312,-0.1521,2.5885,-3.0994,33.75,2026-09-21T12:50:00+00:00,False,False,0.0,-0.0,0.0035
LDO-EUR,2026-09-21T00:51:15.289104+00:00,24,1.4,0.38362,0.36472,0.41008000000000006,,8.945,False,True,1.0,287,287,HORIZON_MARK,-1.4441,-2.1316,-0.2931,-0.3813,2.5885,-3.321,33.75,2026-09-22T00:50:00+00:00,False,False,0.0,-0.0,0.0035
LDO-EUR,2026-09-21T00:51:15.289104+00:00,24,1.5,0.38362,0.36472,0.41197000000000006,,8.945,False,True,1.0,287,287,HORIZON_MARK,-1.4441,-2.1316,-0.2931,-0.3813,2.5885,-3.321,33.75,2026-09-22T00:50:00+00:00,False,False,0.0,-0.0,0.0035
LDO-EUR,2026-09-21T00:51:15.289104+00:00,24,1.6,0.38362,0.36472,0.41386000000000006,,8.945,False,True,1.0,287,287,HORIZON_MARK,-1.4441,-2.1316,-0.2931,-0.3813,2.5885,-3.321,33.75,2026-09-22T00:50:00+00:00,False,False,0.0,-0.0,0.0035
LDO-EUR,2026-09-21T00:51:15.289104+00:00,24,2,0.38362,0.36472,0.42142,,8.945,False,True,1.0,287,287,HORIZON_MARK,-1.4441,-2.1316,-0.2931,-0.3813,2.5885,-3.321,33.75,2026-09-22T00:50:00+00:00,False,False,0.0,-0.0,0.0035
MORPHO-EUR,2026-09-21T01:05:35.816577+00:00,4,1.4,2.43888,2.33865,2.5792020000000004,,6.672,False,True,1.0,47,47,HORIZON_MARK,-0.5781,-1.2717,-0.1407,-0.2661,1.561,-3.2749,169.4,2026-09-21T05:05:00+00:00,False,False,0.0,-0.0,0.0035
MORPHO-EUR,2026-09-21T01:05:35.816577+00:00,4,1.5,2.43888,2.33865,2.5892250000000008,,6.672,False,True,1.0,47,47,HORIZON_MARK,-0.5781,-1.2717,-0.1407,-0.2661,1.561,-3.2749,169.4,2026-09-21T05:05:00+00:00,False,False,0.0,-0.0,0.0035
MORPHO-EUR,2026-09-21T01:05:35.816577+00:00,4,1.6,2.43888,2.33865,2.5992480000000007,,6.672,False,True,1.0,47,47,HORIZON_MARK,-0.5781,-1.2717,-0.1407,-0.2661,1.561,-3.2749,169.4,2026-09-21T05:05:00+00:00,False,False,0.0,-0.0,0.0035
MORPHO-EUR,2026-09-21T01:05:35.816577+00:00,4,2,2.43888,2.33865,2.63934,,6.672,False,True,1.0,47,47,HORIZON_MARK,-0.5781,-1.2717,-0.1407,-0.2661,1.561,-3.2749,169.4,2026-09-21T05:05:00+00:00,False,False,0.0,-0.0,0.0035
MORPHO-EUR,2026-09-21T01:05:35.816577+00:00,12,1.4,2.43888,2.33865,2.5792020000000004,,6.672,False,True,1.0,143,143,HORIZON_MARK,-0.8721,-1.5636,-0.2122,-0.3272,1.561,-3.2749,169.4,2026-09-21T13:05:00+00:00,False,False,0.0,-0.0,0.0035
MORPHO-EUR,2026-09-21T01:05:35.816577+00:00,12,1.5,2.43888,2.33865,2.5892250000000008,,6.672,False,True,1.0,143,143,HORIZON_MARK,-0.8721,-1.5636,-0.2122,-0.3272,1.561,-3.2749,169.4,2026-09-21T13:05:00+00:00,False,False,0.0,-0.0,0.0035
MORPHO-EUR,2026-09-21T01:05:35.816577+00:00,12,1.6,2.43888,2.33865,2.5992480000000007,,6.672,False,True,1.0,143,143,HORIZON_MARK,-0.8721,-1.5636,-0.2122,-0.3272,1.561,-3.2749,169.4,2026-09-21T13:05:00+00:00,False,False,0.0,-0.0,0.0035
MORPHO-EUR,2026-09-21T01:05:35.816577+00:00,12,2,2.43888,2.33865,2.63934,,6.672,False,True,1.0,143,143,HORIZON_MARK,-0.8721,-1.5636,-0.2122,-0.3272,1.561,-3.2749,169.4,2026-09-21T13:05:00+00:00,False,False,0.0,-0.0,0.0035
MORPHO-EUR,2026-09-21T01:05:35.816577+00:00,24,1.4,2.43888,2.33865,2.5792020000000004,,6.672,False,True,1.0,287,287,STOP,-4.1097,-4.7786,-1.0,-1.0,1.561,-5.9097,169.4,2026-09-21T17:45:00+00:00,False,False,0.0,-0.0,0.0035
MORPHO-EUR,2026-09-21T01:05:35.816577+00:00,24,1.5,2.43888,2.33865,2.5892250000000008,,6.672,False,True,1.0,287,287,STOP,-4.1097,-4.7786,-1.0,-1.0,1.561,-5.9097,169.4,2026-09-21T17:45:00+00:00,False,False,0.0,-0.0,0.0035
MORPHO-EUR,2026-09-21T01:05:35.816577+00:00,24,1.6,2.43888,2.33865,2.5992480000000007,,6.672,False,True,1.0,287,287,STOP,-4.1097,-4.7786,-1.0,-1.0,1.561,-5.9097,169.4,2026-09-21T17:45:00+00:00,False,False,0.0,-0.0,0.0035
MORPHO-EUR,2026-09-21T01:05:35.816577+00:00,24,2,2.43888,2.33865,2.63934,,6.672,False,True,1.0,287,287,STOP,-4.1097,-4.7786,-1.0,-1.0,1.561,-5.9097,169.4,2026-09-21T17:45:00+00:00,False,False,0.0,-0.0,0.0035
