market,rejected_at,reason,execution_valid_at,state,delay_minutes,price_change_pct,fully_actionable_at,next_buy_at,evaluation_4h
PEPE-EUR,2026-09-22T03:36:17.123384+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T04:08:33.331977+00:00,BUILDING_ACCELERATION,32.071666666666665,3.4261,,,"{""horizon_hours"": 4, ""mfe_pct"": 0.5403, ""mae_pct"": -8.2546, ""close_return_pct"": -3.4913, ""bars_used"": 48, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
GRASS-EUR,2026-09-22T04:59:09.841745+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T05:52:06.459610+00:00,BUILDING_ACCELERATION,52.74,-0.6086,,,"{""horizon_hours"": 4, ""mfe_pct"": 6.4643, ""mae_pct"": -2.3111, ""close_return_pct"": 2.4179, ""bars_used"": 48, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
PENGU-EUR,2026-09-22T05:51:37.540512+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T20:02:37.697364+00:00,BUILDING_ACCELERATION,850.635,13.853,,,
BONK-EUR,2026-09-22T05:51:37.540512+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T06:09:09.808933+00:00,CONFIRMED_ACCELERATION,17.17,-0.5094,2026-09-22T06:09:09.808933+00:00,,"{""horizon_hours"": 4, ""mfe_pct"": 1.2879, ""mae_pct"": -7.2627, ""close_return_pct"": -5.4187, ""bars_used"": 42, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
FLOCK-EUR,2026-09-22T06:53:28.345977+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T09:51:10.613238+00:00,BUILDING_ACCELERATION,177.40166666666667,8.9764,2026-09-22T13:21:30.977508+00:00,2026-09-22T11:52:05.893172+00:00,"{""horizon_hours"": 4, ""mfe_pct"": 8.9144, ""mae_pct"": -3.4222, ""close_return_pct"": 5.3971, ""bars_used"": 43, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
FORM-EUR,2026-09-22T07:11:30.230790+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T07:30:46.046227+00:00,CONFIRMED_ACCELERATION,19.058333333333334,-2.6299,2026-09-22T07:30:46.046227+00:00,2026-09-22T07:30:27.241703+00:00,"{""horizon_hours"": 4, ""mfe_pct"": 6.3794, ""mae_pct"": -6.0717, ""close_return_pct"": 0.9776, ""bars_used"": 45, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
S-EUR,2026-09-22T07:30:27.241703+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T07:47:48.273633+00:00,CONFIRMED_ACCELERATION,17.1,4.1689,2026-09-22T07:47:48.273633+00:00,2026-09-22T07:47:32.579901+00:00,"{""horizon_hours"": 4, ""mfe_pct"": 11.2741, ""mae_pct"": -3.0738, ""close_return_pct"": 2.2543, ""bars_used"": 48, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
EPIC-EUR,2026-09-22T07:42:58.185686+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T14:04:06.887006+00:00,BUILDING_ACCELERATION,380.9566666666667,-19.4419,2026-09-22T17:01:26.914382+00:00,2026-09-22T17:00:58.306962+00:00,"{""horizon_hours"": 4, ""mfe_pct"": 9.7713, ""mae_pct"": -2.7178, ""close_return_pct"": 2.5814, ""bars_used"": 44, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
TREAD-EUR,2026-09-22T08:00:37.292001+00:00,STRUCTURAL_STOP_TOO_WIDE,2026-09-22T17:36:54.376560+00:00,BUILDING_ACCELERATION,576.0483333333334,6.5645,2026-09-22T18:48:01.084102+00:00,2026-09-22T18:47:42.106827+00:00,"{""horizon_hours"": 4, ""mfe_pct"": 12.9881, ""mae_pct"": -3.9532, ""close_return_pct"": 5.5816, ""bars_used"": 43, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
THQ-EUR,2026-09-22T08:42:31.691388+00:00,INSUFFICIENT_EXECUTION_LIQUIDITY,2026-09-22T11:20:29.131641+00:00,BUILDING_ACCELERATION,157.72,0.1499,2026-09-22T13:21:32.233301+00:00,,"{""horizon_hours"": 4, ""mfe_pct"": 17.8561, ""mae_pct"": -1.4592, ""close_return_pct"": -1.4592, ""bars_used"": 35, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
NIL-EUR,2026-09-22T08:58:09.751910+00:00,STRUCTURAL_STOP_TOO_WIDE,2026-09-22T08:58:47.123691+00:00,CONFIRMED_ACCELERATION,0.14333333333333334,0.331,2026-09-22T08:58:47.123691+00:00,,"{""horizon_hours"": 4, ""mfe_pct"": 5.2377, ""mae_pct"": -6.4069, ""close_return_pct"": 0.6915, ""bars_used"": 48, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
NIL-EUR,2026-09-22T09:35:23.031269+00:00,STRUCTURAL_STOP_TOO_WIDE,2026-09-22T12:27:24.275226+00:00,BUILDING_ACCELERATION,171.83166666666665,-0.7722,2026-09-22T14:04:13.417009+00:00,,"{""horizon_hours"": 4, ""mfe_pct"": 7.9597, ""mae_pct"": -2.9282, ""close_return_pct"": -1.7016, ""bars_used"": 48, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
WIF-EUR,2026-09-22T10:46:35.383828+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T12:32:21.008187+00:00,BUILDING_ACCELERATION,105.58166666666666,2.0331,2026-09-22T12:37:48.747680+00:00,,"{""horizon_hours"": 4, ""mfe_pct"": 5.6963, ""mae_pct"": -3.89, ""close_return_pct"": -2.5948, ""bars_used"": 48, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
AVA-EUR,2026-09-22T10:59:25.749895+00:00,SPREAD_TOO_WIDE,2026-09-22T10:59:41.851583+00:00,CONFIRMED_ACCELERATION,0.018333333333333333,0.0681,2026-09-22T10:59:41.851583+00:00,,"{""horizon_hours"": 4, ""mfe_pct"": 2.8446, ""mae_pct"": -1.9304, ""close_return_pct"": 0.4975, ""bars_used"": 39, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
HOT-EUR,2026-09-22T11:20:06.964864+00:00,SPREAD_TOO_WIDE,2026-09-22T13:50:01.711697+00:00,BUILDING_ACCELERATION,149.62333333333333,-1.0414,,,"{""horizon_hours"": 4, ""mfe_pct"": -1.7895, ""mae_pct"": -4.877, ""close_return_pct"": -3.2489, ""bars_used"": 31, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
BCH-EUR,2026-09-22T12:37:36.161867+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T19:18:03.253979+00:00,BUILDING_ACCELERATION,400.26,23.7797,,,
BONK-EUR,2026-09-22T13:12:21.754894+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T14:04:11.128479+00:00,BUILDING_ACCELERATION,51.32833333333333,-0.4536,,,"{""horizon_hours"": 4, ""mfe_pct"": 0.8215, ""mae_pct"": -2.4324, ""close_return_pct"": 0.0289, ""bars_used"": 39, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
FLOCK-EUR,2026-09-22T14:03:53.921592+00:00,STRUCTURAL_STOP_TOO_WIDE,2026-09-22T17:01:30.701733+00:00,BUILDING_ACCELERATION,177.40666666666667,3.61,,,"{""horizon_hours"": 4, ""mfe_pct"": 1.3351, ""mae_pct"": -7.612, ""close_return_pct"": -5.2863, ""bars_used"": 34, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
APE-EUR,2026-09-22T16:09:53.681426+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T17:36:55.022020+00:00,CONFIRMED_ACCELERATION,86.78333333333333,1.3595,2026-09-22T17:36:55.022020+00:00,2026-09-22T17:36:30.897702+00:00,"{""horizon_hours"": 4, ""mfe_pct"": 2.1274, ""mae_pct"": -2.4014, ""close_return_pct"": -1.399, ""bars_used"": 40, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
BEL-EUR,2026-09-22T16:47:58.557786+00:00,INSUFFICIENT_EXECUTION_LIQUIDITY,2026-09-22T17:21:28.299176+00:00,BUILDING_ACCELERATION,33.096666666666664,0.4587,,,"{""horizon_hours"": 4, ""mfe_pct"": 0.4149, ""mae_pct"": -4.2076, ""close_return_pct"": -3.1129, ""bars_used"": 18, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
YGG-EUR,2026-09-22T16:47:58.557786+00:00,SPREAD_TOO_WIDE,2026-09-22T16:48:28.825869+00:00,CONFIRMED_ACCELERATION,0.105,0.2636,2026-09-22T16:48:28.825869+00:00,,"{""horizon_hours"": 4, ""mfe_pct"": 0.1375, ""mae_pct"": -3.2192, ""close_return_pct"": -1.921, ""bars_used"": 19, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
STO-EUR,2026-09-22T17:20:44.091706+00:00,INSUFFICIENT_EXECUTION_LIQUIDITY,2026-09-22T17:36:55.474938+00:00,CONFIRMED_ACCELERATION,15.613333333333333,2.9947,2026-09-22T17:36:55.474938+00:00,2026-09-22T17:36:30.897702+00:00,"{""horizon_hours"": 4, ""mfe_pct"": 0.7937, ""mae_pct"": -5.8404, ""close_return_pct"": -5.8404, ""bars_used"": 29, ""method"": ""closed_5m_bars_after_first_execution_valid_snapshot""}"
SXT-EUR,2026-09-22T17:20:44.091706+00:00,STRUCTURAL_RANGE_TOO_NARROW,2026-09-22T20:21:39.444282+00:00,BUILDING_ACCELERATION,180.345,9.6636,,,
MOVR-EUR,2026-09-22T19:17:42.722941+00:00,SPREAD_TOO_WIDE,2026-09-22T19:20:28.720160+00:00,CONFIRMED_ACCELERATION,2.5050000000000003,0.1921,2026-09-22T19:20:28.720160+00:00,2026-09-22T19:20:13.951284+00:00,
