market,decision_ts,cycle_id,decision_type,entry_eur,stop_eur,tp1_eur,stake_eur,signal_score,source_runtime_sha,plan_source,actual_mark_sent_ts,reason,signal_price_eur,signal_phase,episode_extension_pct,context,evaluations,tp2_eur,structural_range_15m_pct,stop_distance_pct
KMNO-EUR,1789984228.328058,2026-09-21T09:49:12.531575+00:00,BUY_SENT,0.030916,0.028836,0.035075,162.06666981192646,7.196,,,,DELIVERED,0.030912,,,"{""mode"": ""SHADOW_NON_VETO"", ""regime"": ""BROAD_RISK_ON"", ""market_return_1h_pct"": 1.8405, ""market_return_4h_pct"": 4.4633, ""relative_strength_1h_pp"": 0.5945, ""relative_strength_4h_pp"": 1.8298, ""breadth_positive_1h_pct"": 89.67, ""breadth_positive_4h_pct"": 92.25, ""benchmarks"": {""BTC-EUR"": {""return_1h_pct"": 1.8382, ""return_4h_pct"": 4.1537}, ""ETH-EUR"": {""return_1h_pct"": 1.5497, ""return_4h_pct"": 2.7532}, ""SOL-EUR"": {""return_1h_pct"": 0.6085, ""return_4h_pct"": 3.8637}}, ""affects_buy_gate"": false}","{""4"": {""horizon_hours"": 4, ""result"": ""OPEN"", ""mfe_pct"": 4.8939, ""mae_pct"": -2.6815, ""close_return_pct"": -1.6205, ""bars_used"": 48, ""method"": ""closed_5m_bars_after_decision_bar""}, ""12"": {""horizon_hours"": 12, ""result"": ""OPEN"", ""mfe_pct"": 4.8939, ""mae_pct"": -5.0815, ""close_return_pct"": -1.6205, ""bars_used"": 135, ""method"": ""closed_5m_bars_after_decision_bar""}, ""24"": {""horizon_hours"": 24, ""result"": ""STOP"", ""mfe_pct"": 4.8939, ""mae_pct"": -8.2029, ""close_return_pct"": -1.6205, ""bars_used"": 239, ""method"": ""closed_5m_bars_after_decision_bar""}}",0.037155,7.33179250128402,6.727907879415184
TREAD-EUR,1789985099.447374,2026-09-21T10:03:45.703325+00:00,BUY_SENT,0.38501,0.36549,0.42405,208.61390310220003,7.175,,,,DELIVERED,0.38501,,,"{""mode"": ""SHADOW_NON_VETO"", ""regime"": ""BROAD_RISK_ON"", ""market_return_1h_pct"": -0.9977, ""market_return_4h_pct"": -7.5606, ""relative_strength_1h_pp"": -1.2778, ""relative_strength_4h_pp"": -9.7415, ""breadth_positive_1h_pct"": 59.62, ""breadth_positive_4h_pct"": 91.78, ""benchmarks"": {""BTC-EUR"": {""return_1h_pct"": 1.0595, ""return_4h_pct"": 3.7457}, ""ETH-EUR"": {""return_1h_pct"": 0.8894, ""return_4h_pct"": 2.0223}, ""SOL-EUR"": {""return_1h_pct"": 0.5176, ""return_4h_pct"": 3.6468}}, ""affects_buy_gate"": false}","{""4"": {""horizon_hours"": 4, ""result"": ""TP1"", ""mfe_pct"": 12.1789, ""mae_pct"": -0.0026, ""close_return_pct"": 0.426, ""bars_used"": 43, ""method"": ""closed_5m_bars_after_decision_bar""}, ""12"": {""horizon_hours"": 12, ""result"": ""TP1"", ""mfe_pct"": 14.2827, ""mae_pct"": -0.0026, ""close_return_pct"": 0.426, ""bars_used"": 118, ""method"": ""closed_5m_bars_after_decision_bar""}, ""24"": {""horizon_hours"": 24, ""result"": ""TP1"", ""mfe_pct"": 21.654, ""mae_pct"": -2.1636, ""close_return_pct"": 0.426, ""bars_used"": 203, ""method"": ""closed_5m_bars_after_decision_bar""}}",0.44357,10.646476714890529,5.069998181865416
ARB-EUR,1789988147.244241,2026-09-21T10:54:32.906851+00:00,BUY_SENT,0.20236,0.187,0.23308,145.2104796091972,8.492,,,,DELIVERED,0.20171,,,"{""mode"": ""SHADOW_NON_VETO"", ""regime"": ""BROAD_RISK_ON"", ""market_return_1h_pct"": 5.403, ""market_return_4h_pct"": 9.2357, ""relative_strength_1h_pp"": 5.5921, ""relative_strength_4h_pp"": 7.1111, ""breadth_positive_1h_pct"": 38.5, ""breadth_positive_4h_pct"": 90.14, ""benchmarks"": {""BTC-EUR"": {""return_1h_pct"": -0.9491, ""return_4h_pct"": 3.4765}, ""ETH-EUR"": {""return_1h_pct"": -1.0153, ""return_4h_pct"": 2.2311}, ""SOL-EUR"": {""return_1h_pct"": -0.4263, ""return_4h_pct"": 3.8424}}, ""affects_buy_gate"": false}","{""4"": {""horizon_hours"": 4, ""result"": ""OPEN"", ""mfe_pct"": 7.1852, ""mae_pct"": -2.8464, ""close_return_pct"": 1.2552, ""bars_used"": 48, ""method"": ""closed_5m_bars_after_decision_bar""}, ""12"": {""horizon_hours"": 12, ""result"": ""OPEN"", ""mfe_pct"": 7.1852, ""mae_pct"": -4.8972, ""close_return_pct"": 1.2552, ""bars_used"": 141, ""method"": ""closed_5m_bars_after_decision_bar""}, ""24"": {""horizon_hours"": 24, ""result"": ""OPEN"", ""mfe_pct"": 7.1852, ""mae_pct"": -7.2544, ""close_return_pct"": 1.2552, ""bars_used"": 276, ""method"": ""closed_5m_bars_after_decision_bar""}}",0.24844,7.282844199330311,7.59043289187587
G-EUR,1789990484.104091,2026-09-21T11:33:28.836575+00:00,BUY_SENT,0.0058365,0.0053955,0.0067184,145.81771848293448,7.614,,,,DELIVERED,0.0057792,,,"{""mode"": ""SHADOW_NON_VETO"", ""regime"": ""BROAD_RISK_ON"", ""market_return_1h_pct"": 3.6468, ""market_return_4h_pct"": 0.3214, ""relative_strength_1h_pp"": 3.2082, ""relative_strength_4h_pp"": -2.3061, ""breadth_positive_1h_pct"": 66.9, ""breadth_positive_4h_pct"": 93.19, ""benchmarks"": {""BTC-EUR"": {""return_1h_pct"": 0.3252, ""return_4h_pct"": 3.6773}, ""ETH-EUR"": {""return_1h_pct"": 0.3391, ""return_4h_pct"": 2.3488}, ""SOL-EUR"": {""return_1h_pct"": 0.4859, ""return_4h_pct"": 4.0637}}, ""affects_buy_gate"": false}","{""4"": {""horizon_hours"": 4, ""result"": ""OPEN"", ""mfe_pct"": 2.8013, ""mae_pct"": -4.7306, ""close_return_pct"": 1.6106, ""bars_used"": 47, ""method"": ""closed_5m_bars_after_decision_bar""}, ""12"": {""horizon_hours"": 12, ""result"": ""OPEN"", ""mfe_pct"": 2.8013, ""mae_pct"": -5.5478, ""close_return_pct"": 1.6106, ""bars_used"": 137, ""method"": ""closed_5m_bars_after_decision_bar""}, ""24"": {""horizon_hours"": 24, ""result"": ""STOP"", ""mfe_pct"": 2.8013, ""mae_pct"": -10.9038, ""close_return_pct"": 1.6106, ""bars_used"": 262, ""method"": ""closed_5m_bars_after_decision_bar""}}",0.0071594,6.745807424156783,7.5558982266769394
PROVE-EUR,1789994888.60625,2026-09-21T12:46:54.791679+00:00,BUY_SENT,0.22712,0.20983,0.2617,144.82134643039998,8.413,,,,DELIVERED,0.22684,,,"{""mode"": ""SHADOW_NON_VETO"", ""regime"": ""BROAD_RISK_ON"", ""market_return_1h_pct"": 5.5493, ""market_return_4h_pct"": 9.7157, ""relative_strength_1h_pp"": 5.4802, ""relative_strength_4h_pp"": 7.9471, ""breadth_positive_1h_pct"": 54.23, ""breadth_positive_4h_pct"": 90.38, ""benchmarks"": {""BTC-EUR"": {""return_1h_pct"": 0.5308, ""return_4h_pct"": 2.0733}, ""ETH-EUR"": {""return_1h_pct"": 0.0497, ""return_4h_pct"": 0.9774}, ""SOL-EUR"": {""return_1h_pct"": -0.3991, ""return_4h_pct"": 0.8458}}, ""affects_buy_gate"": false}","{""4"": {""horizon_hours"": 4, ""result"": ""OPEN"", ""mfe_pct"": 14.6178, ""mae_pct"": -7.0183, ""close_return_pct"": -1.6643, ""bars_used"": 46, ""method"": ""closed_5m_bars_after_decision_bar""}, ""12"": {""horizon_hours"": 12, ""result"": ""STOP"", ""mfe_pct"": 14.6178, ""mae_pct"": -9.9727, ""close_return_pct"": -1.6643, ""bars_used"": 114, ""method"": ""closed_5m_bars_after_decision_bar""}, ""24"": {""horizon_hours"": 24, ""result"": ""STOP"", ""mfe_pct"": 14.6178, ""mae_pct"": -13.8517, ""close_return_pct"": -1.6643, ""bars_used"": 181, ""method"": ""closed_5m_bars_after_decision_bar""}}",0.27898,6.86001854059065,7.612715744980628
C-EUR,1789996935.309829,2026-09-21T13:21:01.076113+00:00,BUY_SENT,0.068052,0.064349,0.075458,196.0021386588,6.767,,,,DELIVERED,0.068288,,,"{""mode"": ""SHADOW_NON_VETO"", ""regime"": ""BROAD_RISK_ON"", ""market_return_1h_pct"": 4.5086, ""market_return_4h_pct"": 1.194, ""relative_strength_1h_pp"": 4.2712, ""relative_strength_4h_pp"": -0.0207, ""breadth_positive_1h_pct"": 63.62, ""breadth_positive_4h_pct"": 82.16, ""benchmarks"": {""BTC-EUR"": {""return_1h_pct"": 0.2514, ""return_4h_pct"": 1.4222}, ""ETH-EUR"": {""return_1h_pct"": 0.4955, ""return_4h_pct"": 1.2626}, ""SOL-EUR"": {""return_1h_pct"": 0.4675, ""return_4h_pct"": 1.788}}, ""affects_buy_gate"": false}","{""4"": {""horizon_hours"": 4, ""result"": ""OPEN"", ""mfe_pct"": 9.0166, ""mae_pct"": -1.9897, ""close_return_pct"": -0.1705, ""bars_used"": 38, ""method"": ""closed_5m_bars_after_decision_bar""}, ""12"": {""horizon_hours"": 12, ""result"": ""OPEN"", ""mfe_pct"": 9.0166, ""mae_pct"": -1.9897, ""close_return_pct"": -0.1705, ""bars_used"": 114, ""method"": ""closed_5m_bars_after_decision_bar""}, ""24"": {""horizon_hours"": 24, ""result"": ""OPEN"", ""mfe_pct"": 9.0166, ""mae_pct"": -1.9897, ""close_return_pct"": -0.1705, ""bars_used"": 232, ""method"": ""closed_5m_bars_after_decision_bar""}}",0.079161,6.219031981517279,5.441427143948742
CELR-EUR,1789998980.167155,2026-09-21T13:55:05.110826+00:00,BUY_SENT,0.0031493,0.0029679,0.003512,186.33973811529998,6.636,,,,DELIVERED,0.0031514,,,"{""mode"": ""SHADOW_NON_VETO"", ""regime"": ""MIXED"", ""market_return_1h_pct"": -0.466, ""market_return_4h_pct"": 2.9319, ""relative_strength_1h_pp"": 0.2901, ""relative_strength_4h_pp"": 3.0379, ""breadth_positive_1h_pct"": 19.72, ""breadth_positive_4h_pct"": 45.07, ""benchmarks"": {""BTC-EUR"": {""return_1h_pct"": -0.1738, ""return_4h_pct"": 0.0567}, ""ETH-EUR"": {""return_1h_pct"": -0.1537, ""return_4h_pct"": -0.7163}, ""SOL-EUR"": {""return_1h_pct"": 0.3721, ""return_4h_pct"": 0.6088}}, ""affects_buy_gate"": false}","{""4"": {""horizon_hours"": 4, ""result"": ""STOP"", ""mfe_pct"": 9.8657, ""mae_pct"": -10.4849, ""close_return_pct"": 0.8605, ""bars_used"": 48, ""method"": ""closed_5m_bars_after_decision_bar""}, ""12"": {""horizon_hours"": 12, ""result"": ""STOP"", ""mfe_pct"": 9.8657, ""mae_pct"": -12.8441, ""close_return_pct"": 0.8605, ""bars_used"": 119, ""method"": ""closed_5m_bars_after_decision_bar""}, ""24"": {""horizon_hours"": 24, ""result"": ""STOP"", ""mfe_pct"": 9.8657, ""mae_pct"": -14.7398, ""close_return_pct"": 0.8605, ""bars_used"": 225, ""method"": ""closed_5m_bars_after_decision_bar""}}",0.0036934,6.3351231011000415,5.7600101609881555
ACE-EUR,1790004307.241948,2026-09-21T15:23:52.446925+00:00,BUY_SENT,0.1525,0.14572,0.16606,233.902581490525,8.5,,,,DELIVERED,0.153,,,"{""mode"": ""SHADOW_NON_VETO"", ""regime"": ""MIXED"", ""market_return_1h_pct"": 4.2626, ""market_return_4h_pct"": 0.7766, ""relative_strength_1h_pp"": 3.4144, ""relative_strength_4h_pp"": 0.4826, ""breadth_positive_1h_pct"": 78.17, ""breadth_positive_4h_pct"": 58.22, ""benchmarks"": {""BTC-EUR"": {""return_1h_pct"": 1.1266, ""return_4h_pct"": 2.0735}, ""ETH-EUR"": {""return_1h_pct"": 1.0282, ""return_4h_pct"": 1.1032}, ""SOL-EUR"": {""return_1h_pct"": 0.4529, ""return_4h_pct"": 1.955}}, ""affects_buy_gate"": false}","{""4"": {""horizon_hours"": 4, ""result"": ""OPEN"", ""mfe_pct"": 3.1803, ""mae_pct"": -1.2066, ""close_return_pct"": -0.5508, ""bars_used"": 35, ""method"": ""closed_5m_bars_after_decision_bar""}, ""12"": {""horizon_hours"": 12, ""result"": ""OPEN"", ""mfe_pct"": 3.1803, ""mae_pct"": -2.5967, ""close_return_pct"": -0.5508, ""bars_used"": 71, ""method"": ""closed_5m_bars_after_decision_bar""}, ""24"": {""horizon_hours"": 24, ""result"": ""STOP"", ""mfe_pct"": 3.1803, ""mae_pct"": -4.6295, ""close_return_pct"": -0.5508, ""bars_used"": 167, ""method"": ""closed_5m_bars_after_decision_bar""}}",0.17284,6.576541274817134,4.445901639344267
ALLO-EUR,1790008523.502203,2026-09-21T16:34:08.592413+00:00,BUY_SENT,0.243967,0.226338,0.279224,151.8855349253,9.71,,,,DELIVERED,0.242446,,,"{""mode"": ""SHADOW_NON_VETO"", ""regime"": ""MIXED"", ""market_return_1h_pct"": 5.2219, ""market_return_4h_pct"": 2.8738, ""relative_strength_1h_pp"": 4.754, ""relative_strength_4h_pp"": 2.8589, ""breadth_positive_1h_pct"": 67.14, ""breadth_positive_4h_pct"": 50.7, ""benchmarks"": {""BTC-EUR"": {""return_1h_pct"": -0.008, ""return_4h_pct"": 1.0831}, ""ETH-EUR"": {""return_1h_pct"": 1.0725, ""return_4h_pct"": 1.631}, ""SOL-EUR"": {""return_1h_pct"": 0.1699, ""return_4h_pct"": 1.3056}}, ""affects_buy_gate"": false}","{""4"": {""horizon_hours"": 4, ""result"": ""OPEN"", ""mfe_pct"": 4.5223, ""mae_pct"": -5.4823, ""close_return_pct"": 2.8992, ""bars_used"": 35, ""method"": ""closed_5m_bars_after_decision_bar""}, ""12"": {""horizon_hours"": 12, ""result"": ""STOP"", ""mfe_pct"": 4.5223, ""mae_pct"": -7.7515, ""close_return_pct"": 2.8992, ""bars_used"": 69, ""method"": ""closed_5m_bars_after_decision_bar""}, ""24"": {""horizon_hours"": 24, ""result"": ""STOP"", ""mfe_pct"": 4.5223, ""mae_pct"": -9.514, ""close_return_pct"": 2.8992, ""bars_used"": 117, ""method"": ""closed_5m_bars_after_decision_bar""}}",0.296853,6.008328375966688,7.225977283812966
GRASS-EUR,1790021885.747955,2026-09-21T20:16:52.186047+00:00,BUY_SENT,0.34572,0.31894,0.39928,142.5340415866884,9.817,,,,DELIVERED,0.34518,,,"{""mode"": ""SHADOW_NON_VETO"", ""regime"": ""MIXED"", ""market_return_1h_pct"": 5.3491, ""market_return_4h_pct"": 5.4236, ""relative_strength_1h_pp"": 5.1021, ""relative_strength_4h_pp"": 5.6784, ""breadth_positive_1h_pct"": 61.27, ""breadth_positive_4h_pct"": 36.85, ""benchmarks"": {""BTC-EUR"": {""return_1h_pct"": 0.8221, ""return_4h_pct"": 1.2336}, ""ETH-EUR"": {""return_1h_pct"": 0.4033, ""return_4h_pct"": 0.7666}, ""SOL-EUR"": {""return_1h_pct"": 0.7418, ""return_4h_pct"": 0.6515}}, ""affects_buy_gate"": false}","{""4"": {""horizon_hours"": 4, ""result"": ""OPEN"", ""mfe_pct"": 14.1589, ""mae_pct"": 0.8735, ""close_return_pct"": 1.9958, ""bars_used"": 48, ""method"": ""closed_5m_bars_after_decision_bar""}, ""12"": {""horizon_hours"": 12, ""result"": ""TP1"", ""mfe_pct"": 16.739, ""mae_pct"": 0.512, ""close_return_pct"": 1.9958, ""bars_used"": 143, ""method"": ""closed_5m_bars_after_decision_bar""}, ""24"": {""horizon_hours"": 24, ""result"": ""TP1"", ""mfe_pct"": 18.191, ""mae_pct"": 0.512, ""close_return_pct"": 1.9958, ""bars_used"": 286, ""method"": ""closed_5m_bars_after_decision_bar""}}",0.42606,6.586127403776001,7.746152956149492
