BITVAVO MARKET CONTROL — FULL ACTIVE EUR UNIVERSE
generated_at_utc: 2026-09-10T23:02:18.802901+00:00
active_eur_markets: 430
v4_generated_at_utc: 2026-09-10T23:01:43.798839+00:00
v3_generated_at_utc: 2026-09-10T23:01:43.798839+00:00
RULE: this is the mandatory second reading of every scan; V3/V4 remain the prospective first reading.

COVERAGE
top_10: V4=2/10 | V3=2/10 | either=3/10 (30.0%)
top_20: V4=5/20 | V3=5/20 | either=7/20 (35.0%)
top_40: V4=10/40 | V3=7/40 | either=14/40 (35.0%)

TOP_24H_GAINERS
rank | market | ch24% | last | vol24EUR | collector | V4[action,opp,entry,trend] | V3[stage,buy,score] | audit
40 | SPX-EUR | 1.8759 | 0.41817 | 153450 | TRUE | -, -, -, - | -, FALSE, - | NOT_DETECTED_V3_V4

MISSED_MATERIAL_MOVERS_>=5%
#1 VTHO-EUR | +39.92% | vol24=3517255 EUR | collector=True
#2 NES-EUR | +34.60% | vol24=206926 EUR | collector=True
#3 SAGA-EUR | +30.38% | vol24=540003 EUR | collector=True
#4 CNPY-EUR | +25.01% | vol24=1752902 EUR | collector=True
#5 UP-EUR | +24.59% | vol24=326292 EUR | collector=True
#7 PUFFER-EUR | +16.82% | vol24=72276 EUR | collector=True
#10 VVV-EUR | +8.94% | vol24=644776 EUR | collector=True
#11 EIGEN-EUR | +8.86% | vol24=210079 EUR | collector=True
#13 BIRB-EUR | +5.72% | vol24=157930 EUR | collector=True

PROSPECTIVE_V4_BEFORE_LEADERBOARD
none
