BITVAVO SCAN V4 — STABILIZED DECISIONS
generated_at_utc: 2026-09-19T13:45:44.019711+00:00
RULE: BUY_READY minimum lifetime 15m; 2 weak scans to downgrade; former buys tracked 2h unless hard invalidation.
market | stable_action | raw_action | opportunity | entry | trend | last | ch24 | confirms | flags | stability
CC-EUR | ENTRY_WINDOW | WATCH | 7.796 | 6.250 | 6.500 | 0.09698 | 2.50% | 45 | SELLER_HEAVY_BOOK,WICK_SETUP,STABILITY_HOLD | HYSTERESIS_HOLD
PYTH-EUR | ENTRY_WINDOW | WATCH | 7.771 | 6.750 | 7.000 | 0.052607 | 2.10% | 103 | STABILITY_HOLD | HYSTERESIS_HOLD
AEVO-EUR | WATCH | WATCH | 8.529 | 4.900 | 5.800 | 0.021397 | 3.96% | 39 | LOW_LIQUIDITY,SPREAD_RISK,SELLER_HEAVY_BOOK | RAW_CONFIRMED
RPL-EUR | WATCH | WATCH | 8.460 | 5.500 | 5.650 | 1.5933 | 2.76% | 6 | LOW_LIQUIDITY,SPREAD_RISK,SELLER_HEAVY_BOOK | RAW_CONFIRMED
AERO-EUR | WATCH | WATCH | 8.230 | 5.550 | 8.950 | 0.58526 | 6.25% | 438 | - | RAW_CONFIRMED
IMX-EUR | WATCH | WATCH | 8.158 | 6.000 | 8.500 | 0.1229 | 9.04% | 56 | SPREAD_RISK,SELLER_HEAVY_BOOK | RAW_CONFIRMED
EUL-EUR | WATCH | WATCH | 8.130 | 6.100 | 8.150 | 1.27907 | 9.17% | 26 | WICK_SETUP | RAW_CONFIRMED
ROSE-EUR | WATCH | WATCH | 8.124 | 5.950 | 8.550 | 0.006583 | 4.23% | 112 | SELLER_HEAVY_BOOK,WICK_SETUP | RAW_CONFIRMED
ZIL-EUR | WATCH | WATCH | 8.124 | 5.700 | 8.750 | 0.0028852 | 9.51% | 413 | VERY_SELLER_HEAVY_BOOK | RAW_CONFIRMED
FLUX-EUR | WATCH | WATCH | 8.078 | 5.850 | 8.400 | 0.05105 | 6.02% | 51 | LOW_LIQUIDITY,SPREAD_RISK | RAW_CONFIRMED
TRAC-EUR | WATCH | WATCH | 8.041 | 5.900 | 5.600 | 0.29788 | 2.29% | 2 | SELLER_HEAVY_BOOK | RAW_CONFIRMED
ZK-EUR | WATCH | WATCH | 8.019 | 5.300 | 8.500 | 0.009718 | 7.74% | 135 | VERY_SELLER_HEAVY_BOOK | RAW_CONFIRMED
0G-EUR | WATCH | WATCH | 7.970 | 5.450 | 8.100 | 0.193 | 3.66% | 46 | SPREAD_RISK,SELLER_HEAVY_BOOK | RAW_CONFIRMED
S-EUR | WATCH | WATCH | 7.940 | 5.900 | 8.450 | 0.028195 | 2.60% | 336 | SELLER_HEAVY_BOOK | RAW_CONFIRMED
JUP-EUR | WATCH | WATCH | 7.928 | 5.650 | 8.700 | 0.24 | 4.91% | 204 | WICK_SETUP | RAW_CONFIRMED
LUNA2-EUR | WATCH | WATCH | 7.852 | 4.700 | 4.550 | 0.041586 | 1.32% | 17 | LOW_LIQUIDITY,SELLER_HEAVY_BOOK | RAW_CONFIRMED
